Unnamed: 0,statename,month,year,routed,answered_in_state,abandoned_in_state,asa_in_state,in_state_answer_rate,month_year,AvgTalkTime,suicide_deaths
1066,VT,3,2022,400,328,53,18S,0.82,Mar-22,14.73333333,587
1067,WA,3,2022,4568,3152,1071,31S,0.69,Mar-22,11.1,5532
1068,WI,3,2022,3776,3317,406,28S,0.88,Mar-22,17.53333333,4934
1069,WV,3,2022,859,773,77,24S,0.9,Mar-22,16.9,2443
1070,WY,3,2022,269,179,40,14S,0.67,Mar-22,16.2,471
1071,AK,3,2023,1058,739,139,20S,0.7,Mar-23,16.55,464
1072,AL,3,2023,2428,1345,453,22S,0.55,Mar-23,11.53333333,5079
1073,AR,3,2023,1693,1133,294,30S,0.67,Mar-23,10.26666667,3105
1074,AZ,3,2023,5375,4583,575,22S,0.85,Mar-23,12.33333333,6056
1075,CA,3,2023,27837,24340,3247,36S,0.87,Mar-23,12.4,26390
1076,CO,3,2023,5105,3634,617,24S,0.71,Mar-23,15.63333333,3850
1077,CT,3,2023,3458,3255,153,13S,0.94,Mar-23,8.633333333,2724
1078,DC,3,2023,841,607,106,24S,0.72,Mar-23,10.51666667,420
1079,DE,3,2023,410,296,62,21S,0.72,Mar-23,7.383333333,967
1080,FL,3,2023,10713,7439,2116,44S,0.69,Mar-23,14.76666667,19753
1081,GA,3,2023,5740,4877,544,18S,0.85,Mar-23,11.38333333,8219
1082,HI,3,2023,1038,978,51,13S,0.94,Mar-23,9.233333333,1172
1083,IA,3,2023,1774,1598,164,29S,0.9,Mar-23,12.45,2886
1084,ID,3,2023,1209,954,171,25S,0.79,Mar-23,13.11666667,1426
1085,IL,3,2023,11208,9270,1158,31S,0.83,Mar-23,20.2,9745
1086,IN,3,2023,3467,3246,184,15S,0.94,Mar-23,15.78333333,6061
1087,KS,3,2023,1805,1619,163,21S,0.9,Mar-23,14.16666667,2679
1088,KY,3,2023,2444,1915,320,25S,0.78,Mar-23,13.53333333,4613
1089,LA,3,2023,2549,2210,302,30S,0.87,Mar-23,16.51666667,4212
1090,MA,3,2023,5269,4674,549,32S,0.89,Mar-23,10.9,5226
1091,MD,3,2023,4277,3743,498,33S,0.88,Mar-23,13.15,4601
1092,ME,3,2023,564,487,52,25S,0.86,Mar-23,11.46666667,1437
1093,MI,3,2023,6247,5419,531,22S,0.87,Mar-23,11.95,9005
