statename,month,year,routed,answered_in_state,abandoned_in_state,asa_in_state,in_state_answer_rate,month_year,AvgTalkTime
AZ,10,2021,3942,3580,254,17S,0.91,Oct 2021,8.66666666666667
CA,10,2021,24524,20808,3544,45S,0.85,Oct 2021,12.0666666666667
CO,10,2021,4584,2642,1166,49S,0.58,Oct 2021,15.1833333333333
CT,10,2021,1762,981,507,1M 2S,0.56,Oct 2021,13.4
DC,10,2021,598,562,24,16S,0.94,Oct 2021,7.1
DE,10,2021,407,303,72,25S,0.74,Oct 2021,9.56666666666667
FL,10,2021,9308,6963,1828,42S,0.75,Oct 2021,11.7333333333333
GA,10,2021,5053,2824,1497,29S,0.56,Oct 2021,17.9833333333333
HI,10,2021,956,687,159,19S,0.72,Oct 2021,8.93333333333333
IA,10,2021,1342,962,303,54S,0.72,Oct 2021,11.2166666666667
ID,10,2021,1121,919,104,16S,0.82,Oct 2021,16.1666666666667
IL,10,2021,7863,1398,1789,26S,0.18,Oct 2021,14.9
IN,10,2021,3173,2318,460,22S,0.73,Oct 2021,13.3666666666667
KS,10,2021,1566,1254,164,18S,0.8,Oct 2021,14.5333333333333
KY,10,2021,2132,1561,390,28S,0.73,Oct 2021,15.7666666666667
LA,10,2021,2296,762,556,32S,0.33,Oct 2021,15.5333333333333
MA,10,2021,3923,2751,924,55S,0.7,Oct 2021,9.08333333333333
MD,10,2021,3440,2784,639,57S,0.81,Oct 2021,13.25
ME,10,2021,444,371,71,40S,0.84,Oct 2021,10.1666666666667
MI,10,2021,5741,3664,1292,44S,0.64,Oct 2021,11.9666666666667
MN,10,2021,2991,1520,772,36S,0.51,Oct 2021,15.1
MO,10,2021,3112,2402,593,43S,0.77,Oct 2021,14.2833333333333
MS,10,2021,1199,1066,109,17S,0.89,Oct 2021,8.5
MT,10,2021,598,572,26,12S,0.96,Oct 2021,11.0166666666667
NC,10,2021,5115,4443,465,22S,0.87,Oct 2021,7.51666666666667
ND,10,2021,358,317,25,16S,0.89,Oct 2021,14.3
NE,10,2021,1086,773,211,35S,0.71,Oct 2021,12.5333333333333
NH,10,2021,673,522,68,24S,0.78,Oct 2021,10.3666666666667
NJ,10,2021,4179,3273,697,44S,0.78,Oct 2021,13.5333333333333
NM,10,2021,1482,1048,369,59S,0.71,Oct 2021,17.5166666666667
NV,10,2021,1867,1355,407,46S,0.73,Oct 2021,14.1
NY,10,2021,12908,7987,2471,32S,0.62,Oct 2021,15.3166666666667
OH,10,2021,5353,3109,708,19S,0.58,Oct 2021,12.2666666666667
OK,10,2021,1805,1270,399,45S,0.7,Oct 2021,16.4166666666667
OR,10,2021,3599,2562,706,39S,0.71,Oct 2021,17.2833333333333
PA,10,2021,5122,4384,627,31S,0.86,Oct 2021,12.4666666666667
RI,10,2021,358,350,8,7S,0.98,Oct 2021,8.11666666666667
SC,10,2021,2553,2106,304,19S,0.82,Oct 2021,13.6666666666667
SD,10,2021,326,269,50,29S,0.83,Oct 2021,19.9333333333333
TN,10,2021,3033,2328,596,26S,0.77,Oct 2021,8.91666666666667
TX,10,2021,14023,4804,2920,24S,0.34,Oct 2021,13.5166666666667
UT,10,2021,2367,1546,414,27S,0.65,Oct 2021,17.2666666666667
VA,10,2021,4930,3621,1140,1M 9S,0.73,Oct 2021,11.2166666666667
VT,10,2021,372,319,30,19S,0.86,Oct 2021,15.75
WA,10,2021,4563,3405,812,32S,0.75,Oct 2021,10.7833333333333
WI,10,2021,3610,3226,328,23S,0.89,Oct 2021,16.6333333333333
WV,10,2021,1020,894,109,27S,0.88,Oct 2021,13.5666666666667
WY,10,2021,248,110,49,14S,0.44,Oct 2021,11.75
AK,10,2022,848,543,119,18S,0.64,Oct 2022,15.2333333333333
AL,10,2022,2329,1486,447,40S,0.64,Oct 2022,14.15
AR,10,2022,1324,893,196,24S,0.67,Oct 2022,11.1666666666667
AZ,10,2022,4881,4086,714,21S,0.84,Oct 2022,13.1333333333333
